Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,g,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,Energy,Power,GB/s,GFLOPs
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,7,7,1328,336,1,1,9,9,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,4,1,1,1,1,1,50,1024,2323968,72340128,31,0.116453,6900,5.92513,18.5857,621.195
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,7,7,1328,336,1,1,9,9,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,4,1,1,1,1,50,1024,2323968,72340128,31,0.129388,7317,5.65507,16.7277,559.094
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x64_8x2_nhwc_align1,passed,success,fprop,1,7,7,1328,336,1,1,9,9,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,64,8,2,1,2,1,1,1,1,50,1024,2323968,72340128,31,0.121523,8683,7.14515,17.8103,595.279
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x32_8x2_nhwc_align1,passed,success,fprop,1,7,7,1328,336,1,1,9,9,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,32,8,2,2,1,1,1,1,1,50,1024,2323968,72340128,31,0.121015,7360,6.08191,17.8851,597.78
Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,g,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,Energy,Power,GB/s,GFLOPs
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,4,1,1,1,1,50,1024,2891776,189267968,65,0.0822839,6100,7.41336,32.7303,2300.18
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,4,2,1,1,1,1,50,1024,2891776,189267968,65,0.051038,4832,9.46746,52.7681,3708.38
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,4,1,1,1,1,50,1024,2891776,189267968,65,0.0489569,4943,10.0966,55.0111,3866.01
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,2,1,1,1,1,50,1024,2891776,189267968,65,0.0400524,4592,11.465,67.2413,4725.51
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,4,1,1,1,1,1,50,1024,2891776,189267968,65,0.0411384,4654,11.313,65.4662,4600.76
